datetime,NetPosUsd,NetUsdPnL,AbsVolume,Mid
2014.02.25T05:00:00.000,215635.575,5.143407983,53327.075,1.373475
2014.02.25T06:00:00.000,354374.61,7.671288179,157624.895,1.373545
2014.02.25T07:00:00.000,457693.515,275.9673016,901365.995,1.374455
2014.02.25T08:00:00.000,312142.025,104.660523,588503.41,1.375075
2014.02.25T09:00:00.000,273691.665,59.66888133,714074.92,1.375335
2014.02.25T10:00:00.000,368372.7,-182.5901696,757528.605,1.374525
2014.02.25T11:00:00.000,778564.13,517.9247971,1042236.01,1.375555
2014.02.25T12:00:00.000,856416.295,-507.800116,13020.025,1.374665
2014.02.25T13:00:00.000,746747.175,334.6005646,400274.34,1.375225
2014.02.25T14:00:00.000,474625.125,241.0994257,1281062.7,1.375725
2014.02.25T15:00:00.000,482925.105,45.81952132,43842.76,1.375855
2014.02.25T16:00:00.000,531488.385,-890.001586,1295985.41,1.373355
2014.02.25T17:00:00.000,430332.745,595.3982335,981994.87,1.374865
2014.02.25T18:00:00.000,92140.075,67.61259414,448527.11,1.375225
2014.02.25T19:00:00.000,46720.93,-51.45004606,249839.125,1.374145
2014.02.25T20:00:00.000,4122.525,5.41825412,53624.775,1.374175
2014.02.25T21:00:00.000,-39844.115,6.85578695,5770.78,1.373935
2014.02.25T22:00:00.000,-60478.66,2.945124843,881687.035,1.374515
2014.02.25T23:00:00.000,-211676.85,-0.08812241,153962.77,1.374525
2014.02.26T00:00:00.000,-367019.535,-18.22864389,177459.325,1.374605
2014.02.26T01:00:00.000,-706531.55,-26.35673994,380702.975,1.374575
2014.02.26T02:00:00.000,-669310.885,115.6554068,292267.475,1.374355
2014.02.26T03:00:00.000,-199258.275,78.8454023,1538710.24,1.374195
2014.02.26T04:00:00.000,-2748.01,36.40089491,459604.635,1.374005
2014.02.26T05:00:00.000,0,-0.011913035,2947.86,1.373955
2014.02.26T06:00:00.000,-1373.805,0.246230395,40445.895,1.373805
2014.02.26T07:00:00.000,5497.22,0.057841378,173757.125,1.374305
2014.02.26T08:00:00.000,180015.615,-18.70615612,616441.345,1.374165
2014.02.26T09:00:00.000,-362848.2,-168.9494812,1137797.635,1.374425
2014.02.26T10:00:00.000,34356.625,-169.1484437,1083459.405,1.374265
2014.02.26T11:00:00.000,-105819.175,-7.440689247,1008778.27,1.374275
2014.02.26T12:00:00.000,-413596.575,-15.27781549,828578.5,1.374075
2014.02.26T13:00:00.000,-351473.92,341.5499646,1286004.215,1.372945
2014.02.26T14:00:00.000,-198934.925,310.8261239,2264477.985,1.371965
2014.02.26T15:00:00.000,-31465.495,257.32068,3787758.33,1.368065
2014.02.26T16:00:00.000,-400435.775,200.9502373,3876153.72,1.366675
